instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,year,workingday_str,time_category
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Night (20-05)
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Spring,Misty/Cloudy,2011,Holiday/Weekend,Morning (05-11)
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Morning (05-11)
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Spring,Clear/Partly Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Spring,Misty/Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Spring,Misty/Cloudy,2011,Holiday/Weekend,Afternoon (11-15)
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Spring,Misty/Cloudy,2011,Holiday/Weekend,Evening (15-20)
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Spring,Misty/Cloudy,2011,Holiday/Weekend,Evening (15-20)
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Spring,Misty/Cloudy,2011,Holiday/Weekend,Evening (15-20)
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Spring,Light Snow/Rain,2011,Holiday/Weekend,Evening (15-20)
